arch,F_star_M,S_star_KB,k,S_over_Sstar,F_over_Fstar_minus_1,c_h
MobileNetV2,300.774272,1176.0,2,0.5,0.545413318925016,0.545413318925016
MobileNetV2,300.774272,1176.0,4,0.25,1.236034173202969,0.41201139106765633
MobileNetV2,300.774272,1176.0,6,0.16666666666666666,2.071862562833859,0.41437251256677177
MobileNetV2,300.774272,1176.0,10,0.1,4.17914194815445,0.4643491053504944
ResNet-50,4089.184256,784.0,2,0.5,0.6100331730060045,0.6100331730060045
ResNet-50,4089.184256,784.0,4,0.25,1.382888580679884,0.460962860226628
ResNet-50,4089.184256,784.0,6,0.16666666666666666,2.3185662230216386,0.4637132446043277
ResNet-50,4089.184256,784.0,10,0.1,4.678388211708773,0.519820912412086
EfficientNet-Lite0,385.187552,1176.0,2,0.5,0.7954686064841727,0.7954686064841727
EfficientNet-Lite0,385.187552,1176.0,4,0.25,1.8726519128032888,0.6242173042677629
EfficientNet-Lite0,385.187552,1176.0,6,0.16666666666666666,3.231549918957349,0.6463099837914699
EfficientNet-Lite0,385.187552,1176.0,10,0.1,6.7944900307703,0.7549433367522556
RegNetY-400MF,401.842848,588.0,2,0.5,0.4651203940454912,0.4651203940454912
RegNetY-400MF,401.842848,588.0,4,0.25,1.039433517400254,0.346477839133418
RegNetY-400MF,401.842848,588.0,6,0.16666666666666666,1.7229393700642879,0.34458787401285756
RegNetY-400MF,401.842848,588.0,10,0.1,3.4175292633201697,0.3797254737022411
ShuffleNetV2-x1.0,144.907992,294.0,2,0.5,0.7034770312237513,0.7034770312237513
ShuffleNetV2-x1.0,144.907992,294.0,4,0.25,1.6271261208847838,0.5423753736282613
ShuffleNetV2-x1.0,144.907992,294.0,6,0.16666666666666666,2.7709472689830967,0.5541894537966193
ShuffleNetV2-x1.0,144.907992,294.0,10,0.1,5.719105740491568,0.635456193387952
GhostNet-100,141.150512,294.0,2,0.5,1.206309704085557,1.206309704085557
GhostNet-100,141.150512,294.0,4,0.25,4.36234626854581,1.4541154228486033
GhostNet-100,141.150512,294.0,6,0.16666666666666666,7.99560050064335,1.5991201001286701
GhostNet-100,141.150512,294.0,10,0.1,18.1662711604877,2.0184745733875222
