arch,F_star_M,S_star_KB,gamma,rf,image_size,k,S_over_Sstar,F_over_Fstar_minus_1,linear_bound,linear_OK
AlexNet,714.20,189.06,363.000,51,224,1,1.0000,0.0000,0.0000,1
AlexNet,714.20,189.06,363.000,51,224,2,0.5000,0.2277,0.0492,1
AlexNet,714.20,189.06,363.000,51,224,4,0.2500,0.6830,0.0738,1
AlexNet,714.20,189.06,363.000,51,224,6,0.1667,1.1384,0.0820,1
AlexNet,714.20,189.06,363.000,51,224,10,0.1000,2.0491,0.0886,1
ResNet-18,1814.07,784.00,147.000,51,224,1,1.0000,0.0000,0.0000,1
ResNet-18,1814.07,784.00,147.000,51,224,2,0.5000,0.2277,0.0325,1
ResNet-18,1814.07,784.00,147.000,51,224,4,0.2500,0.6830,0.0488,1
ResNet-18,1814.07,784.00,147.000,51,224,6,0.1667,1.1384,0.0542,1
ResNet-18,1814.07,784.00,147.000,51,224,10,0.1000,2.0491,0.0585,1
DenseNet-121,2834.34,784.00,147.000,129,224,1,1.0000,0.0000,0.0000,1
DenseNet-121,2834.34,784.00,147.000,129,224,2,0.5000,0.5759,0.0208,1
DenseNet-121,2834.34,784.00,147.000,129,224,4,0.2500,1.7277,0.0312,1
DenseNet-121,2834.34,784.00,147.000,129,224,6,0.1667,2.8795,0.0347,1
DenseNet-121,2834.34,784.00,147.000,129,224,10,0.1000,5.1830,0.0375,1
ConvNeXt-Tiny,319.61,1176.00,24.281,127,224,1,1.0000,0.0000,0.0000,1
ConvNeXt-Tiny,319.61,1176.00,24.281,127,224,2,0.5000,0.5670,0.0457,1
ConvNeXt-Tiny,319.61,1176.00,24.281,127,224,4,0.2500,1.7009,0.0686,1
ConvNeXt-Tiny,319.61,1176.00,24.281,127,224,6,0.1667,2.8348,0.0762,1
ConvNeXt-Tiny,319.61,1176.00,24.281,127,224,10,0.1000,5.1027,0.0823,1
VGG-16,15470.29,3136.00,27.000,27,224,1,1.0000,0.0000,0.0000,1
VGG-16,15470.29,3136.00,27.000,27,224,2,0.5000,0.1205,0.0028,1
VGG-16,15470.29,3136.00,27.000,27,224,4,0.2500,0.3616,0.0042,1
VGG-16,15470.29,3136.00,27.000,27,224,6,0.1667,0.6027,0.0047,1
VGG-16,15470.29,3136.00,27.000,27,224,10,0.1000,1.0848,0.0050,1
EfficientNet-B0,385.82,1176.00,27.000,67,224,1,1.0000,0.0000,0.0000,1
EfficientNet-B0,385.82,1176.00,27.000,67,224,2,0.5000,0.2991,0.0421,1
EfficientNet-B0,385.82,1176.00,27.000,67,224,4,0.2500,0.8973,0.0632,1
EfficientNet-B0,385.82,1176.00,27.000,67,224,6,0.1667,1.4955,0.0702,1
EfficientNet-B0,385.82,1176.00,27.000,67,224,10,0.1000,2.6920,0.0758,1
